episode,seed,epsilon,train_return,train_loss,steps,z_steps
1,1000,1.0,3.69954777,,4,0
2,1001,0.99,2.7432872,,4,12
3,1002,0.9801,2.88279219,,4,1
4,1003,0.970299,3.75972793,,4,3
5,1004,0.96059601,1.75224617,,4,8
6,1005,0.95099005,0.82987184,,5,12
7,1006,0.94148015,1.82130792,,4,12
8,1007,0.93206535,2.48953502,,4,5
9,1008,0.92274469,2.99760907,,4,0
10,1009,0.91351725,3.68787365,,4,8
11,1010,0.90438208,1.56750217,,4,8
12,1011,0.89533825,2.80196911,,4,5
13,1012,0.88638487,3.76662712,,4,1
14,1013,0.87752102,3.96334767,,5,0
15,1014,0.86874581,3.71765582,,4,12
16,1015,0.86005835,1.92181286,,5,12
17,1016,0.85145777,-1.15322884,,5,1
18,1017,0.84294319,0.61358889,,4,0
19,1018,0.83451376,3.79544789,,4,8
20,1019,0.82616862,-1.27586491,,5,5
21,1020,0.81790694,3.0421556,,5,3
22,1021,0.80972787,2.00592534,,4,3
23,1022,0.80163059,2.71361599,,4,5
24,1023,0.79361428,1.95179897,,4,3
25,1024,0.78567814,0.77516457,,5,12
26,1025,0.77782136,2.87304239,,4,8
27,1026,0.77004315,2.95172493,,4,3
28,1027,0.76234271,2.73482021,,4,8
29,1028,0.75471929,4.04188274,,5,8
30,1029,0.74717209,3.07305127,,5,12
31,1030,0.73970037,1.69214637,,5,3
32,1031,0.73230337,2.83823396,,5,3
33,1032,0.72498034,2.52729512,,4,1
34,1033,0.71773053,2.89096393,,5,5
35,1034,0.71055323,0.07262974,,5,0
36,1035,0.70344769,0.90296063,,5,12
37,1036,0.69641322,3.01436631,,4,5
38,1037,0.68944909,0.97004206,,5,3
39,1038,0.6825546,2.42149624,,4,5
40,1039,0.67572905,1.95591739,,5,1
41,1040,0.66897176,1.76741926,,5,0
42,1041,0.66228204,-1.93031752,,5,3
43,1042,0.65565922,1.06723564,,5,12
44,1043,0.64910263,3.80261832,,4,8
45,1044,0.6426116,2.03616567,,5,5
46,1045,0.63618549,2.8302695,,5,0
47,1046,0.62982363,2.84046832,,5,0
48,1047,0.62352539,3.05404589,,5,12
49,1048,0.61729014,3.01703671,,5,12
50,1049,0.61111724,2.46178492,,4,0
51,1050,0.60500607,2.96855912,,5,12
52,1051,0.59895601,3.9203905,,5,12
53,1052,0.59296645,2.14437543,,5,8
54,1053,0.58703678,1.50280911,,4,3
55,1054,0.58116641,2.69520291,,4,1
56,1055,0.57535475,-0.02537847,,5,5
57,1056,0.5696012,4.02395194,,5,1
58,1057,0.56390519,4.05719381,,5,3
59,1058,0.55826614,3.65860264,,4,12
60,1059,0.55268348,3.9228257,,5,0
61,1060,0.54715664,3.15294578,,5,3
62,1061,0.54168508,1.96635883,,5,1
63,1062,0.53626823,4.03154132,,5,5
64,1063,0.53090554,-0.21477089,,5,0
65,1064,0.52559649,2.92665847,,5,0
66,1065,0.52034052,1.05354886,,5,0
67,1066,0.51513712,-0.16690821,,5,5
68,1067,0.50998575,2.13372935,,5,8
69,1068,0.50488589,1.9057096,,4,0
70,1069,0.49983703,1.20407169,,5,8
71,1070,0.49483866,2.88868698,,4,0
72,1071,0.48989027,2.92982121,,5,0
73,1072,0.48499137,3.08303907,,5,8
74,1073,0.48014146,2.9234712,,4,5
75,1074,0.47534004,0.97166266,,5,3
76,1075,0.47058664,0.14200993,,5,3
77,1076,0.46588078,3.93902344,,5,5
78,1077,0.46122197,2.77264668,,5,0
79,1078,0.45660975,1.25150729,,5,12
80,1079,0.45204365,2.78754381,,4,1
81,1080,0.44752321,3.00075584,,5,0
82,1081,0.44304798,2.0167618,,5,12
83,1082,0.4386175,2.98751986,,5,12
84,1083,0.43423133,3.98853254,,5,1
85,1084,0.42988901,4.02449541,,5,5
86,1085,0.42559012,3.03553003,,5,12
87,1086,0.42133422,3.01472504,,5,3
88,1087,0.41712088,1.86813559,,5,12
89,1088,0.41294967,3.92122386,,5,0
90,1089,0.40882017,2.82077282,,5,8
91,1090,0.40473197,1.01996787,,5,0
92,1091,0.40068465,2.95403142,,5,8
93,1092,0.39667781,2.88516143,,4,8
94,1093,0.39271103,1.91263211,,5,3
95,1094,0.38878392,1.93521527,,5,1
96,1095,0.38489608,0.69909574,,5,0
97,1096,0.38104712,1.90990284,,5,3
98,1097,0.37723665,2.0837549,,5,1
99,1098,0.37346428,-0.09125165,,5,3
100,1099,0.36972964,1.16553189,,5,3
101,1100,0.36603234,-1.05691309,,5,8
102,1101,0.36237202,0.15031975,,5,3
103,1102,0.3587483,1.070583,,5,1
104,1103,0.35516081,1.73540272,,5,8
105,1104,0.35160921,1.06527785,,5,0
106,1105,0.34809311,4.08345127,,5,5
107,1106,0.34461218,1.96536411,1.00914222,5,0
108,1107,0.34116606,2.83485958,0.85447279,5,3
109,1108,0.3377544,3.73321443,0.74102762,4,12
110,1109,0.33437686,2.94212627,0.92181221,5,8
111,1110,0.33103309,2.01751929,0.74967887,5,0
112,1111,0.32772276,1.5061965,0.75162061,4,8
113,1112,0.32444553,1.05306043,0.73932838,5,0
114,1113,0.32120107,1.12246452,0.65611502,5,5
115,1114,0.31798906,2.96870863,0.62395594,5,12
116,1115,0.31480917,1.76816467,0.59963194,4,8
117,1116,0.31166108,2.82765141,0.69018441,4,12
118,1117,0.30854447,2.90472006,0.6440593,4,5
119,1118,0.30545903,2.60009747,0.65557659,4,3
120,1119,0.30240444,1.09027175,0.63257296,5,0
121,1120,0.29938039,3.92320123,0.49356616,5,1
122,1121,0.29638659,2.0701093,0.45115587,5,8
123,1122,0.29342272,2.15343414,0.62098192,5,5
124,1123,0.29048849,3.08356396,0.57025155,5,8
125,1124,0.28758361,2.98374425,0.53967261,5,0
126,1125,0.28470777,2.8858853,0.6464155,4,12
127,1126,0.2818607,2.98784325,0.70327489,4,8
128,1127,0.27904209,-0.17644312,0.48420168,5,5
129,1128,0.27625167,3.14924865,0.53985639,5,12
130,1129,0.27348915,2.17446998,0.54117169,5,5
131,1130,0.27075426,3.06168583,0.51432886,5,8
132,1131,0.26804672,2.04262464,0.60583855,4,3
133,1132,0.26536625,2.7198822,0.63488667,4,0
134,1133,0.26271259,1.53761487,0.57790272,4,5
135,1134,0.26008546,3.63129446,0.58746041,4,0
136,1135,0.25748461,1.90436002,0.55422544,4,5
